PassengerId,source,Survived,Pclass_1,Pclass_2,Pclass_3,Sex_0,Sex_1,SibSp_0,SibSp_1,SibSp_2,SibSp_3,SibSp_4,SibSp_5,SibSp_8,Parch_0,Parch_1,Parch_2,Parch_3,Parch_4,Parch_5,Parch_6,Parch_9
1,train,0.0,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
2,train,1.0,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
3,train,1.0,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4,train,1.0,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
5,train,0.0,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
6,train,0.0,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
7,train,0.0,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
8,train,0.0,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
9,train,1.0,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
10,train,1.0,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
11,train,1.0,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
12,train,1.0,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
13,train,0.0,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
14,train,0.0,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
15,train,0.0,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
16,train,1.0,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
17,train,0.0,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
18,train,1.0,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
19,train,0.0,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
20,train,1.0,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
21,train,0.0,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
22,train,1.0,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
23,train,1.0,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
24,train,1.0,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
25,train,0.0,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
26,train,1.0,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
27,train,0.0,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
28,train,0.0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
29,train,1.0,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
30,train,0.0,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
31,train,0.0,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
32,train,1.0,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
33,train,1.0,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
34,train,0.0,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
35,train,0.0,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
36,train,0.0,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
37,train,1.0,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
38,train,0.0,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
39,train,0.0,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
40,train,1.0,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
41,train,0.0,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
42,train,0.0,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
43,train,0.0,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
44,train,1.0,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
45,train,1.0,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
46,train,0.0,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
47,train,0.0,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
48,train,1.0,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
49,train,0.0,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
50,train,0.0,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
51,train,0.0,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
52,train,0.0,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
53,train,1.0,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
54,train,1.0,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
55,train,0.0,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
56,train,1.0,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
57,train,1.0,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
58,train,0.0,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
59,train,1.0,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
60,train,0.0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
61,train,0.0,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
62,train,1.0,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
